"PAHP","HPB","Hooper Bay","61.52772500:-166.15154200","PA","Alaska"
"CYHE","YHE","Hope","49.36669900:-121.49163895","CY","Canada"
"YHPN","HTU","Hopetoun","-35.71987500:142.35832200","YH","Australia"
"YHID","HID","Horn Island","-10.58667187:142.28124261","YH","Australia"
"BIHN","HFN","Hornafjordur","64.30224400:-015.23078300","BI","Iceland"
"CYHN","YHN","Hornepayne Muni","49.19055600:-084.76527800","CY","Canada"
"YHSM","HSM","Horsham","-36.66888604:142.17075347","YH","Australia"
"LPHR","HOR","Horta","38.51986300:-028.72453300","LP","Portugal"
"AYHK","HKN","Hoskins","-05.45729700:150.39976100","AY","Papua New Guinea"
"ZWTN","HTN","Hotan","37.04350300:079.84824700","ZW","People\'s Republic of China"
"MPHO","BLB","Howard","08.92651100:-079.59963300","MP","Panama"
"ENKR","KKN","Hoybuktmoen","69.72228600:029.86698100","EN","Norway"
"VYPA","PAA","Hpa An","16.88842500:097.67123900","VY","Myanmar"
"VTPH","HHQ","Hua Hin","12.64514200:099.94816499","VT","Thailand"
"NTTH","HUH","Huahine","-16.68848600:-151.02863900","NT","French Polynesia"
"RCYU","HUN","Hualien","24.01261100:121.61096900","RC","Republic of China (Taiwan)"
"SPBL","BLP","Huallaga","-07.08497503:-076.57261718","SP","Peru"
"FNHU","NOV","Huambo","-12.80666400:015.74851400","FN","Angola"
"ZGHA","CSX","Huanghua","28.20087500:113.21893300","ZG","People\'s Republic of China"
"VAHB","HBX","Hubli","15.36075600:075.07711700","VA","India"
"ESNH","HUV","Hudiksvall","61.77158300:017.07061900","ES","Sweden"
"CYHB","YHB","Hudson Bay","52.81490338:-102.32166165","CY","Canada"
"CYNH","YNH","Hudsons Hope","56.03361100:-121.98805000","CY","Canada"
"ESSF","HLF","Hultsfred","57.52958100:015.80935600","ES","Sweden"
"EGNJ","HUY","Humberside","53.56533100:-000.35705800","EG","United Kingdom"
"HEGN","HRG","Hurghada Intl","27.19576100:033.79424700","HE","Egypt"
"CYCE","YCE","Huron Airpark","43.28305600:-081.51805600","CY","Canada"
"CYEE","YEE","Huronia","44.68777800:-079.93250300","CY","Canada"
"BIHU","HZK","Husavik","65.94531700:-017.42950600","BI","Iceland"
"PAHL","HSL","Huslia","65.69442500:-156.36176700","PA","Alaska"
"FVWN","HWN","Hwange National Park","-18.63763600:027.00078300","FV","Zimbabwe"
"VOHY","HYD","Hyderabad","17.45295300:078.45389200","VO","India"
"EFHV","HYV","Hyvinkaa","60.65137800:024.87448600","EF","Finland"
"LLMZ","MTZ","I Bar Yehuda","31.32287500:035.38756100","LL","Israel"
"LRIA","IAS","Iasi","47.18571100:027.61555600","LR","Romania"
"DNIB","IBA","Ibadan","07.35413100:003.97132800","DN","Nigeria"
"SPBR","IBP","Iberia","-11.40798100:-069.49371900","SP","Peru"
"LEIB","IBZ","Ibiza","38.86694352:001.35887017","LE","Spain"
"GMTT","TNG","Ibn Batouta","35.73327500:-005.94031100","GM","Morocco"
"SVIC","ICA","Icabaru","-04.33211861:-061.73838651","SV","Venezuela"
"ESUE","IDB","Idre","61.87560330:012.68134990","ES","Sweden"
"RORE","IEJ","Ie Jima","26.71658300:127.77250800","RO","Japan"
"PAIG","IGG","Igiugig","59.32277200:-155.90940800","PA","Alaska"
"CZUC","ZUC","Ignace Muni","49.42638900:-091.72361100","CZ","Canada"
"MUCM","CMW","Ignacio Agramonte Intl","21.41546400:-077.86090000","MU","Cuba"
"UHBB","BQS","Ignatyevo","50.43781100:127.40845300","UH","Russia"
"SSIJ","IJU","Ijui","-28.36310000:-053.84858300","SS","Brazil"
"LGIK","JIK","Ikaria","37.68819400:026.34335300","LG","Greece"
"RJDB","IKI","Iki","33.74318900:129.78464700","RJ","Japan"
"OICI","IIL","Ilam","33.59655300:046.39549400","OI","Iran"
"LFEY","IDY","Ile D Yeu","46.72213600:-002.39634200","LF","France"
"NWWE","ILP","Ile Des Pins","-22.58682200:167.45108600","NW","New Caledonia"
"CYGR","YGR","Iles De La Madeleine","47.42057517:-061.78789938","CY","Canada"
"SBIL","IOS","Ilheus","-14.81616700:-039.04046100","SB","Brazil"
"PAIL","ILI","Iliamna","59.75188600:-154.92406900","PA","Alaska"
"RPMI","IGN","Iligan","08.12457800:124.21272200","RP","Philippines"
"WABL","ILA","Illaga I (cama)","-03.97832325:137.62138541","WA","Indonesia"
"DAAP","VVZ","Illizi Takhamalt","26.72364400:008.60746400","DA","Algeria"
"SPLO","ILC","Ilo","-17.69028100:-071.35471900","SP","Peru"
"RPVI","ILO","Iloilo","10.70434700:122.54145300","RP","Philippines"
"DNIL","ILR","Ilorin","08.43096900:004.48330600","DN","Nigeria"
"BGJN","JAV","Ilulissat/jakobshavn","69.24132622:-051.06837033","BG","Greenland"
"OIIE","IKA","Imam Khomeini Intl","35.42367500:051.12150800","OI","Iran"
"SYIB","IMB","Imbaimadai","-05.72047616:-060.28701841","SY","Guyana"
"DNIM","QOW","Imo","05.43906400:007.20330000","DN","Nigeria"
"VEIM","IMF","Imphal","24.74976400:093.88899200","VE","India"
"DAUZ","IAM","In Amenas","28.04506700:009.63510600","DA","Algeria"
"DAUI","INZ","In Salah","27.24251400:002.50027800","DA","Algeria"
"WASI","INX","Inanwatan (dgac)","-02.12751919:132.15861896","WA","Indonesia"
"RKSI","ICN","Incheon Intl","37.48178900:126.43633900","RK","South Korea"
"PAIM","UTO","Indian Mountain Lrrs","65.99194200:-153.71750000","PA","Alaska"
"VIDP","DEL","Indira Gandhi Intl","28.56717200:077.08483100","VI","India"
"MMCP","CPE","Ingeniero Alberto Acuna Ongay Intl","19.82779200:-090.50318100","MM","Mexico"
"ETSI","IGS","Ingolstadt Manching","48.70450000:011.51866700","ET","Germany"
"FQIN","INH","Inhambane","-23.87061700:035.40476100","FQ","Mozambique"
"EIIM","IOR","Inishmore","53.10856361:-009.65673141","EI","Ireland"
"LOWI","INN","Innsbruck Kranebitten","47.25882800:011.33091400","LO","Austria"
"CYEV","YEV","Inuvik Mike Zubko","68.30319400:-133.50527800","CY","Canada"
"NZNV","IVC","Invercargill","-46.41884700:168.30065100","NZ","New Zealand, Antarctica"
"YIVL","IVR","Inverell","-29.87862167:151.14347432","YI","Australia"
"EGPE","INV","Inverness","57.53698900:-004.05951400","EG","United Kingdom"
"LGIO","IOA","Ioannina","39.70500300:020.81388900","LG","Greece"
"LGKR","CFU","Ioannis Kapodistrias Intl","39.61228300:019.90921100","LG","Greece"
"WMKI","IPH","Ipoh/sultan Azlan Shaw","04.56187300:101.08683600","WM","Malaysia"
"CYFB","YFB","Iqaluit","63.76497200:-068.57398300","CY","Canada"
"LGIR","HER","Iraklion - Nizos Kazantzakis","35.34104200:025.16118300","LG","Greece"
"HTIR","IRI","Iringa","-07.67592200:035.75039400","HT","Tanzania"
"UIII","IKT","Irkutsk","52.27216930:104.37435732","UI","Russia"
"BIIS","IFJ","Isafjordur","66.05512200:-023.14864700","BI","Iceland"
"ROIG","ISG","Ishigaki","24.33950300:124.18202200","RO","Japan"
"VGIS","IRD","Ishurdi","24.15834700:089.04635000","VG","Bangladesh"
"LTAK","HTY","Iskenderun","36.57150000:036.14798600","LT","Turkey"
"CYIV","YIV","Island Lake","53.86006571:-094.66103917","CY","Canada"
"EGPI","ILY","Islay","55.68694400:-006.27944400","EG","United Kingdom"
"EGNS","IOM","Isle Of Man Ronaldsway","54.08166700:-004.63694400","EG","United Kingdom"
"LTBA","IST","Istanbul Ataturk","40.99635600:028.80603100","LT","Turkey"
"SNHA","ITN","Itabuna","-14.81431700:-039.29631900","SN","Brazil"
"SBIC","ITA","Itacoatiara","-03.12297800:-058.48651400","SB","Brazil"
"SBIH","ITB","Itaituba","-04.24813100:-056.00510600","SB","Brazil"
"SSIQ","ITQ","Itaqui","-29.16843808:-056.54258930","SS","Brazil"
"EFIV","IVL","Ivalo","68.59962800:027.38288900","EF","Finland"
"UKLI","IFO","Ivano Frankivsk Intl","48.88666700:024.67000000","UK","Ukraine"
"FMMI","TNR","Ivato","-18.79479200:047.46426900","FM","Comoros, Madagascar, Mayotte, Réunion"
"CYIK","YIK","Ivujivik","62.41416700:-077.93333300","CY","Canada"
"RJOW","IWJ","Iwami","34.67869400:131.77975800","RJ","Japan"
"MMZH","ZIH","Ixtapa Zihuatanejo Intl","17.60187800:-101.47232800","MM","Mexico"
"RJOC","IZO","Izumo","35.40911900:132.88050000","RJ","Japan"
"TVSB","BQU","J F Mitchell","12.98962500:-061.26695800","TV","Saint Vincent and the Grenadines"
"FVBU","BUQ","J M Nkomo Intl","-20.01621900:028.61515600","FV","Zimbabwe"
"VAJB","JLR","Jabalpur","23.17313600:080.04377200","VA","India"
"SBEK","JCR","Jacareacanga","-06.23643100:-057.78332500","SB","Brazil"
"SBJR","RIO","Jacarepagua","-22.99182572:-043.37020065","SB","Brazil"
"MTJA","JAK","Jacmel","18.23650000:-072.51900000","MT","Haiti"
"KAFN","AFN","Jaffrey Arpt Silver Ranch","42.80852200:-072.00643900","KA","United States of America"
"MBGT","GDT","Jags Mccartney Intl","21.44671100:-071.15139400","MB","Turks and Caicos Islands"
"MUCF","CFG","Jaime Gonzalez","22.13942800:-080.41750800","MU","Cuba"
"VIJP","JAI","Jaipur","26.82287500:075.79816400","VI","India"
"VIJR","JSA","Jaisalmer","26.87956700:070.85559700","VI","India"
"WIII","CGK","Jakarta Sukarno-hatta Intl","-06.14260300:106.64355800","WI","Indonesia"
"OAJL","JAA","Jalalabad","34.40644400:070.48960300","OA","Afghanistan"
"VIJU","IXJ","Jammu","32.69837800:074.83682800","VI","India"
"VAJM","JGA","Jamnagar","22.45730300:069.99641100","VA","India"
"VEJS","IXW","Jamshedpur","22.81231700:086.16297500","VE","India"
"VNJP","JKR","Janakpur","26.70875859:085.91732242","VN","Nepal"
"YPJT","JAD","Jandakot","-32.10058300:115.87354700","YP","Australia"
"EPRZ","RZE","Jasionka","50.11018840:022.00154562","EP","Poland"
"WAJJ","DJJ","Jayapura Sentani","-02.57110600:140.50858600","WA","Indonesia"
"OEJN","JED","Jeddah King Abdulaziz Intl","21.70274400:039.12687200","OE","Saudi Arabia"
"RKPC","CJU","Jeju Intl","33.50038300:126.46928900","RK","South Korea"
"MTJE","JEE","Jeremie","18.66600879:-074.17231932","MT","Haiti"
"LEJR","XRY","Jerez","36.73497464:-006.06481368","LE","Spain"
"EGJJ","JER","Jersey","49.20699400:-002.20692800","EG","United Kingdom"
"VGJR","JSR","Jessore","23.19383300:089.15633300","VG","Bangladesh"
"MMAS","AGU","Jesus Teran Intl","21.71462200:-102.31741700","MM","Mexico"
"SWJI","JPR","Ji Parana","-10.87865800:-061.84860000","SW","Brazil"
"ZYJM","JMU","Jiamusi","46.83587800:130.45322200","ZY","People\'s Republic of China"
"ZUCK","CKG","Jiangbei","29.70538900:106.63686400","ZU","People\'s Republic of China"
"DAAV","GJL","Jijel","36.80583300:005.87150300","DA","Algeria"
"HAJM","JIM","Jimma","07.67123100:036.80920000","HA","Ethiopia"
"OIKJ","JYR","Jiroft","28.73324200:057.66148600","OI","Iran"
"VIJO","JDH","Jodhpur","26.24230800:073.03919200","VI","India"
"EFJO","JOE","Joensuu","62.66458900:029.59766400","EF","Finland"
"FAKU","KMH","Johan Pienaar","-27.46433300:023.41077800","FA","South Africa"
"FAJS","JNB","Johannesburg Or Thambo Intl","-26.14631923:028.23434267","FA","South Africa"
"CYHM","YHM","John C Munro Hamilton Intl","43.18055600:-079.95305600","CY","Canada"
"KASX","ASX","John F Kennedy Mem","46.54055000:-090.92465300","KA","United States of America"
"PJON","JON","Johnston Atoll","16.73812819:-169.52194146","PJ","Johnston Atoll"
"WMKJ","JHB","Johor Bahru Sultan Ismail","01.65548300:103.66444200","WM","Malaysia"
"RPMJ","JOL","Jolo","06.05354400:121.00533900","RP","Philippines"
"VNJS","JMO","Jomsom","28.77960744:083.71919190","VN","Nepal"
"ESGJ","JKG","Jonkoping","57.74818900:014.06298900","ES","Sweden"
"SPIM","LIM","Jorge Chavez Intl","-12.00762800:-077.12135300","SP","Peru"
"SKSJ","SJE","Jorge E Gonzalez Torres","02.57296400:-072.63998300","SK","Colombia"
"SLCB","CBB","Jorge Wilsterman","-17.40902500:-066.19112500","SL","Bolivia"
"VEJT","JRH","Jorhat","26.72265000:094.16585000","VE","India"
"SKBS","BSC","Jose Celestino Mutis","06.20834700:-077.39528300","SK","Colombia"
"SAWS","JSM","Jose De San Martin","-44.05637447:-070.44224411","SA","Argentina"
"SVCR","CZE","Jose Leonardo Chirinos","11.41307500:-069.69091900","SV","Venezuela"
"SKRG","MDE","Jose Maria Cordova","06.18035800:-075.42322500","SK","Colombia"
"SEMA","MRR","Jose Maria Velasco Ibarra","-04.38295800:-079.94200300","SE","Ecuador"
"SVJC","LSP","Josefa Camejo","11.77966700:-070.16433600","SV","Venezuela"
"SKGP","GPI","Juan Casiano","02.56455600:-077.90040300","SK","Colombia"
"SGAY","AYO","Juan De Ayolas","-27.37887500:-056.85560600","SG","Paraguay"
"MUVR","VRA","Juan Gualberto Gomez Intl","23.02550800:-081.44936700","MU","Cuba"
"SLOR","ORU","Juan Mendoza","-17.95147800:-067.07576100","SL","Bolivia"
"SVVG","VIG","Juan Pablo Perez Alfonso","08.62203900:-071.68741100","SV","Venezuela"
"SPJA","RIJ","Juan Simons Vela","-06.05958600:-077.16206700","SP","Peru"
"SLSU","SRE","Juana Azurduy De Padilla","-19.01603300:-065.29836900","SL","Bolivia"
"TNCS","SAB","Juancho Yrausquin","17.64541005:-063.22312003","TN","Netherlands Antilles, Aruba"
"SPJI","JJI","Juanjui","-07.17698100:-076.73390300","SP","Peru"
"HSSJ","JUB","Juba","04.87901900:031.59285300","HS","Sudan"
"SASJ","JUJ","Jujuy","-24.38116700:-065.10508300","SA","Argentina"
"SPJL","JUL","Juliaca","-15.46001100:-070.17632800","SP","Peru"
"VNJL","JUM","Jumla","29.28333300:082.18647886","VN","Nepal"
"SDJD","QDV","Jundiai","-23.17676400:-046.94577800","SD","Brazil"
"PAJN","JNU","Juneau Intl","58.35793100:-134.59755600","PA","Alaska"
"SAAJ","JNI","Junin","-34.53916700:-060.93127800","SA","Argentina"
"SNTO","TFL","Juscelino Kubitscheck","-17.89210800:-041.51922500","SN","Brazil"
"FBJW","JWA","Jwaneng","-24.60550000:024.68347200","FB","Botswana"
"EFJY","JYV","Jyvaskyla","62.40755000:025.66013900","EF","Finland"
"VRMT","KDM","Kaadedhdhoo","00.49321100:072.99474400","VR","Maldives"
"OAKB","KBL","Kabul Intl","34.57051454:069.19431164","OA","Afghanistan"
"UIAA","HTA","Kadala","52.03034700:113.28553600","UI","Russia"
"RODN","DNA","Kadena Ab","26.34624400:127.75149400","RO","Japan"
"VRMK","KDO","Kadhdhoo","01.85424700:073.51961400","VR","Maldives"
"DNKA","KAD","Kaduna","10.68710000:007.30968300","DN","Nigeria"
"GQNK","KED","Kaedi","16.15381900:-013.51770300","GQ","Mauritania"
"RJFK","KOJ","Kagoshima","31.81511400:130.71148300","RJ","Japan"
"LTCN","KCM","Kahramanmaras","37.53637800:036.94081100","LT","Turkey"
"PHOG","OGG","Kahului","20.88913900:-156.43631900","PH","Hawaii"
"NZKO","KKO","Kaikohe","-35.44859615:173.81993166","NZ","New Zealand, Antarctica"
"NZKI","KBZ","Kaikoura","-42.42810386:173.59952535","NZ","New Zealand, Antarctica"
"VEKR","IXH","Kailashahar","24.30414400:092.00493900","VE","India"
"WASK","KNG","Kaimana","-03.65163100:133.69423900","WA","Indonesia"
"NZKT","KAT","Kaitaia","-35.06425000:173.28121900","NZ","New Zealand, Antarctica"
"EFKI","KAJ","Kajaani","64.28344700:027.66703600","EF","Finland"
"PAFE","KAE","Kake","56.96487200:-133.91795000","PA","Alaska"
"PHJR","JRF","Kalaeloa","21.29989700:-158.07942800","PH","Hawaii"
"LGKL","KLX","Kalamata","37.08081400:022.02262500","LG","Greece"
"KAZO","AZO","Kalamazoo Battle Creek Intl","42.24245600:-085.55196900","KA","United States of America"
"PHLU","LUP","Kalaupapa","21.20926100:-156.97707800","PH","Hawaii"
"VYKL","KMV","Kalay","23.18861100:094.04293900","VY","Myanmar"
"FZRF","FMI","Kalemie","-05.87974200:029.24263600","FZ","Democratic Republic of the Congo"
"YPKG","KGI","Kalgoorlie-boulder","-30.78828600:121.45461400","YP","Australia"
"RPVK","KLO","Kalibo","11.67290600:122.36875600","RP","Philippines"
"YKKG","KFG)","Kalkgurung","-17.43296100:130.80661100","YK","Australia"
"ESMQ","KLR","Kalmar","56.69681900:016.27666100","ES","Sweden"
"PALG","KLG","Kalskag","61.53558600:-160.35038300","PA","Alaska"
"PAKV","KAL","Kaltag","64.31336100:-158.75505600","PA","Alaska"
"HRZA","KME","Kamembe","-02.46875000:028.90600000","HR","Rwanda"
"FZSA","KMN","Kamina Base","-08.63346900:025.25632200","FZ","Democratic Republic of the Congo"
"OSKL","KAC","Kamishly","37.00794700:041.17864400","OS","Syria"
"CYKA","YKA","Kamloops","50.70431488:-120.45711317","CY","Canada"
"VDKH","KZC","Kampong Chhnang","12.26608300:104.56433100","VD","Cambodia"
"FWKI","LLW","Kamuzu Intl","-13.77912200:033.76843900","FW","Malawi"
"FZUA","KGA","Kananga","-05.89704200:022.45970800","FZ","Democratic Republic of the Congo"
"OAKN","KDH","Kandahar","31.49751100:065.83393300","OA","Afghanistan"
"VAKE","IXY","Kandla","23.10830300:070.09459200","VA","India"
"BGSF","SFJ","Kangerlussuaq","67.00561100:-050.74306700","BG","Greenland"
"VIGG","DHM","Kangra","32.17047200:076.25940600","VI","India"
"VCCJ","JAF","Kankesanturai","09.78510300:080.06264700","VC","Sri Lanka"
"VIKA","KNU","Kanpur","26.44253100:080.35936400","VI","India"
"RJBB","KIX","Kansai Intl","34.41737800:135.22927800","RJ","Japan"
"RCKH","KHH","Kaohsiung Intl","22.57756700:120.33470600","RC","Republic of China (Taiwan)"
"GOOK","KLC","Kaolack","14.14231400:-016.05703300","GO","Senegal"
"LTAZ","NAV","Kapadokya","38.77802200:034.51926400","LT","Turkey"
"PHJH","JHM","Kapalua","20.95928900:-156.67509400","PH","Hawaii"
"CYYU","YYU","Kapuskasing","49.42083300:-082.47222200","CY","Canada"
"OPKC","KHI","Karachi Jinnah Intl","24.90038600:067.14263100","OP","Pakistan"
"UAKK","KGF","Karaganda","49.66304400:073.31506700","UA","Kazakhstan, Kyrgyzstan"
"SYKR","KRM","Karanambo","-03.75511817:-059.31457196","SY","Guyana"
"EEKA","KDL","Kardla","58.99653600:022.82374200","EE","Estonia"
"FVKB","KAB","Kariba Intl","-16.52075300:028.87730300","FV","Zimbabwe"
"LKKV","KLV","Karlovy Vary","50.20677213:012.90113670","LK","Czech Republic"
"ESKK","KSK","Karlskoga","59.33962200:014.49101100","ES","Sweden"
"EDSB","FKB","Karlsruhe Baden Baden","48.76783300:008.06993600","ED","Germany"
"ESOK","KSD","Karlstad","59.43453300:013.32776400","ES","Sweden"
"PAKY","KYK","Karluk","57.56847662:-154.45475539","PA","Alaska"
"FWKA","KGJ","Karonga","-09.94930800:033.88907800","FW","Malawi"
"LGKP","AOK","Karpathos","35.42751100:027.13510600","LG","Greece"
"YPKA","KTA","Karratha","-20.71376700:116.76707800","YP","Australia"
"LTCF","KSY","Kars","40.55527800:043.09638900","LT","Turkey"
"YKMB","KRB","Karumba","-17.45593272:140.83003407","YK","Australia"
"EKKA","KRP","Karup","56.29908300:009.07762200","EK","Denmark"
"FBKE","BBK","Kasane","-17.83583900:025.15345000","FB","Botswana"
"ZWSH","KHG","Kashi","39.54189400:076.00144400","ZW","People\'s Republic of China"
"FLKE","ZKP","Kasompe","-12.57119400:027.88789400","FL","Zambia"
"LGKS","KSJ","Kasos","35.42153900:026.90464700","LG","Greece"
"HSKA","KSL","Kassala","15.37541900:036.32380300","HS","Sudan"
"EDVK","KSF","Kassel Calden","51.40230000:009.36912500","ED","Germany"
"EKCH","CPH","Kastrup","55.60309915:012.63304283","EK","Denmark"
"VNKT","KTM","Kathmandu Tribhuvan Intl","27.68381400:085.35341700","VN","Nepal"
"SYKT","KTO","Kato","-04.65139844:-059.83697172","SY","Guyana"
"EFKJ","KHJ","Kauhajoki","62.46172200:022.38097200","EF","Finland"
"EFKA","KAU","Kauhava","63.13917200:023.04999700","EF","Finland"
"NTGK","KKR","Kaukura","-15.66763300:-146.88717500","NT","French Polynesia"
"EYKA","KUN","Kaunas Intl","54.96266700:024.05948900","EY","Lithuania"
"LGKV","KVA","Kavala Megas Alexandros","40.90630300:024.60498100","LG","Greece"
"SVKA","KAV","Kavanayen","-05.62890618:-061.78576254","SV","Venezuela"
"AYKV","KVG","Kavieng","-02.58392413:150.81424840","AY","Papua New Guinea"
"MUKW","VRO","Kawama","23.12079700:-081.30735600","MU","Cuba"
"VYKT","KAW","Kawthoung","10.04141900:098.53543900","VY","Myanmar"
"GAKY","KYS","Kayes Dag Dag","14.48010300:-011.41175300","GA","Mali"
"UWKD","KZN","Kazan","55.61873300:049.25244700","UW","Russia"
"WASE","KEQ","Kebar (cama)","-00.80983343:133.05016795","WA","Indonesia"
"GOTK","KGG","Kedougou","12.57419700:-012.22839200","GO","Senegal"
"FYKT","KMP","Keetmanshoop","-26.54978300:018.10826400","FY","Namibia"
"LGKF","EFL","Kefallinia","38.12917500:020.49278900","LG","Greece"
"BIKF","KEF","Keflavik Nas","63.98503900:-022.65500600","BI","Iceland"
"CYLW","YLW","Kelowna","49.96607800:-119.37914200","CY","Canada"
